sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30083-PW,PW:1371,32wk,Arm D,0.0,25.46812,0.02764,0.0,0.05105,0.0,4.03427,3.90111,12.32676,1.63013,8.58803,2.83854,0.0,0.0,5.02793,1.22587,0.2025,3.82456,0.41297,0.0
ST-30084-PW,PW:1321,32wk,Arm D,61.26865,11.01042,5.66962,0.19195,3.86429,3.47024,1.86336,1.14047,0.9045,1.39107,0.68529,0.04761,0.38263,2.95805,0.87914,0.61557,0.0,0.51816,0.12722,0.13896
ST-30085-PW,PW:1185,32wk,Arm D,26.95838,7.00479,0.01685,14.58843,1.41137,10.02724,6.37814,3.32555,2.84279,7.9363,2.2227,0.41623,0.0,0.01918,3.82073,1.65896,0.10796,0.64101,0.11421,0.0
ST-30086-PW,PW:1411,32wk,Arm A,54.91228,7.64491,0.60076,0.66845,4.31809,7.99245,0.279,3.0547,3.55511,1.22852,3.14011,0.01896,0.69316,2.38216,1.72885,0.9969,0.14415,0.65118,0.00891,0.74484
ST-30087-PW,PW:1271,32wk,Arm D,60.42623,9.63489,0.31701,0.64869,1.90963,0.10605,0.52017,2.26108,0.81115,2.58165,0.56965,0.32872,0.0,1.46171,0.4934,0.29623,1.77643,0.09838,0.48746,0.01621
ST-30088-PW,PW:1213,32wk,Arm B,18.53701,12.4184,0.69297,8.68718,4.1461,0.49105,7.49581,5.46898,3.68149,5.83179,7.70973,0.63345,0.75928,1.7206,3.93531,2.13005,1.11259,0.74653,1.1706,0.0
ST-30089-PW,PW:1262,32wk,Arm C,10.81802,13.51569,0.04494,9.37807,0.37529,0.17595,6.28559,4.21244,1.19311,0.13882,0.64313,12.53927,0.0,3.63557,1.00321,0.0,0.10439,0.52498,6.03318,1.89261
ST-30090-PW,PW:1045,32wk,Arm D,4.11695,8.17844,0.30551,16.86166,2.19515,4.28764,10.92984,4.6161,4.97522,0.6536,5.06485,8.99073,9.95882,1.25116,1.02164,0.04136,0.24492,1.1121,4.82609,0.12978
ST-30091-PW,PW:1459,32wk,Arm C,4.43393,16.97755,0.20054,24.58299,3.96205,0.11814,7.67097,3.45123,1.88381,0.40802,1.95925,11.51394,0.0,1.00909,1.62746,0.0,0.14905,1.06303,0.19395,0.0
ST-30092-PW,PW:1380,32wk,Arm D,24.51075,18.40059,0.04502,0.45097,1.18408,2.57073,4.12984,2.46759,1.64679,1.69487,1.38856,0.04498,31.17514,2.61946,0.6486,0.02133,0.01835,1.56522,0.5573,0.44999
