iso3,year,anaemia_children_pct,anaemia_children_pct_year,anaemia_pregnant_women_pct,anaemia_pregnant_women_pct_year,anaemia_women_repro_pct,anaemia_women_repro_pct_year,stunting_pct_who,stunting_pct_who_year,wasting_pct,wasting_pct_year,tb_incidence_per100k,tb_incidence_per100k_year,hiv_prevalence_pct,hiv_prevalence_pct_year,malaria_incidence_per1000,malaria_incidence_per1000_year,low_birthweight_pct,low_birthweight_pct_year,preterm_birth_rate_pct,preterm_birth_rate_pct_year,anc4_coverage_pct,anc4_coverage_pct_year,mcv1_coverage_pct,mcv1_coverage_pct_year,mcv2_coverage_pct,mcv2_coverage_pct_year,dtp3_coverage_pct,dtp3_coverage_pct_year,pcv3_coverage_pct,pcv3_coverage_pct_year,rotac_coverage_pct,rotac_coverage_pct_year,ors_coverage_pct,ors_coverage_pct_year,measles_reported_cases,measles_reported_cases_year,u5_mortality_per1000,u5_mortality_per1000_year,neonatal_mortality_per1000,neonatal_mortality_per1000_year,maternal_mortality_per100k,maternal_mortality_per100k_year,hci_score,hci_score_year,hci_learning_years,hci_learning_years_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,severe_food_insecurity_pct,severe_food_insecurity_pct_year,food_insecurity_mod_sev_pct,food_insecurity_mod_sev_pct_year,stunting_pct,stunting_pct_year,underweight_pct,underweight_pct_year,vitamin_a_deficiency_pct,vitamin_a_deficiency_pct_year,zinc_deficiency_pct,zinc_deficiency_pct_year,iron_deficiency_pct,iron_deficiency_pct_year,iodine_deficiency_pct,iodine_deficiency_pct_year,wheat_flour_legislation,maize_flour_legislation,lsff_any_mandatory,lsff_any_program,lsff_coverage_proxy_pct,who_region,who_region_code,country_name,region,income_level,folate_deficiency_pct,iron_intake_mg_per_day,iron_intake_inadequate_pct,folate_intake_ug_per_day,folate_intake_inadequate_pct,vita_intake_ug_per_day,vita_intake_inadequate_pct,mdd_w_pct,mdd_c_pct,iron_deficiency_pct_source,vitamin_a_deficiency_pct_source
MAR,2023,30.4,2019.0,32.6,2019.0,33.7,2023.0,12.8,2023.0,2.4,2019.0,97.0,2023.0,0.1,2023.0,0.0,2023.0,14.8,2020.0,,,60.9,2018.0,98.0,2023.0,98.0,2023.0,97.0,2023.0,81.0,2023.0,93.0,2023.0,22.1,2011.0,483.0,2018.0,16.3,2023.0,10.0,2023.0,70.0,2023.0,0.504116356372833,2020.0,6.31768131256104,2020.0,8915.3515625,2023.0,,,,,14.2,2019.0,3.0,2019.0,1.94052956286312,2021.0,19.2,2005.0,29.498901199908552,2021.0,,,mandatory,no_program,True,True,75.0,Eastern Mediterranean,EMR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
FJI,2023,39.9,2019.0,41.4,2019.0,30.7,2023.0,7.0,2023.0,4.6,2021.0,72.0,2023.0,0.8,2023.0,,,7.4,2020.0,,,88.7,2021.0,98.0,2023.0,83.0,2023.0,97.0,2023.0,96.0,2023.0,96.0,2023.0,,,28.0,2019.0,29.2,2023.0,15.0,2023.0,30.0,2023.0,0.508573293685913,2020.0,6.95113611221313,2020.0,13194.8047570404,2023.0,8.5,2022.0,29.2,2022.0,7.2,2021.0,4.6,2021.0,0.30406063835826,2021.0,10.9,2005.0,15.327743772831532,2021.0,,,,,,,,Western Pacific,WPR,Fiji,East Asia & Pacific,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MAC,2023,,,,,,,,,,,68.0,2023.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2023.0,,,,,,,0.795671582221985,2020.0,11.5738143920898,2020.0,104815.20003062,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
LVA,2023,19.4,2019.0,23.2,2019.0,21.4,2023.0,1.4,2023.0,1.7,2021.0,22.0,2023.0,0.5,2023.0,,,4.2,2020.0,5.5814,2020.0,,,97.0,2023.0,92.0,2023.0,98.0,2023.0,95.0,2023.0,86.0,2023.0,,,1.0,2023.0,2.8,2023.0,1.3,2023.0,19.0,2023.0,0.70658141374588,2020.0,10.9788007736206,2020.0,37277.7217221317,2023.0,1.9,2023.0,11.2,2023.0,0.5,2021.0,0.3,2021.0,,,11.6,2005.0,,,,,,,,,,Europe,EUR,Latvia,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MCO,2023,14.3,2019.0,16.8,2019.0,15.9,2023.0,,,,,0.86,2023.0,,,,,6.8,2020.0,,,,,88.0,2023.0,80.0,2023.0,99.0,2023.0,0.0,2023.0,0.0,2023.0,,,0.0,2023.0,2.7,2023.0,1.4,2023.0,5.0,2023.0,,,,,,,,,,,,,,,1.67097647406613,2021.0,,,27.07518317882337,2021.0,,,,,,,,Europe,EUR,Monaco,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
FIN,2023,11.8,2019.0,16.3,2019.0,13.5,2023.0,1.5,2023.0,1.6,2023.0,3.7,2023.0,,,,,4.1,2020.0,5.55559,2020.0,98.4,2021.0,94.0,2023.0,92.0,2023.0,91.0,2023.0,87.0,2023.0,85.0,2023.0,,,1.0,2023.0,2.4,2023.0,1.4,2023.0,8.0,2023.0,0.796001017093658,2020.0,11.7387523651123,2020.0,56250.8787899319,2023.0,2.9,2023.0,13.4,2023.0,2.8,2023.0,,,2.2482082050030003,2021.0,4.6,2005.0,19.55552945569847,2021.0,,,,,,,,Europe,EUR,Finland,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
MDA,2023,27.0,2019.0,27.6,2019.0,28.6,2023.0,4.0,2023.0,1.9,2012.0,70.0,2023.0,0.9,2023.0,,,6.5,2020.0,4.95717,2020.0,95.4,2012.0,85.0,2023.0,93.0,2023.0,87.0,2023.0,85.0,2023.0,69.0,2023.0,41.5,2012.0,3.0,2023.0,16.2,2023.0,12.1,2023.0,19.0,2023.0,0.584153532981873,2020.0,8.28882122039795,2020.0,15990.4793311152,2023.0,5.4,2023.0,25.1,2023.0,,,,,3.58520534240709,2021.0,20.0,2005.0,39.11786551029317,2021.0,,,mandatory,no_program,True,True,75.0,Europe,EUR,Moldova,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
BIH,2023,24.3,2019.0,27.2,2019.0,26.0,2023.0,7.4,2023.0,2.3,2012.0,20.0,2023.0,,,,,5.2,2020.0,,,84.2,2011.0,55.0,2023.0,63.0,2023.0,73.0,2023.0,0.0,2023.0,0.0,2023.0,36.3,2012.0,13.0,2023.0,6.0,2023.0,4.5,2023.0,6.0,2023.0,0.57968407869339,2020.0,7.80188322067261,2020.0,19805.0002774731,2023.0,1.9,2023.0,9.9,2023.0,,,,,43.85429943394458,2021.0,16.7,2005.0,14.85923611564325,2021.0,,,,,,,,Europe,EUR,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
LTU,2023,17.8,2019.0,21.6,2019.0,23.7,2023.0,1.5,2023.0,4.9,2021.0,34.0,2023.0,0.2,2023.0,,,4.4,2020.0,5.46083,2020.0,,,87.0,2023.0,86.0,2023.0,90.0,2023.0,82.0,2023.0,74.0,2023.0,,,3.0,2023.0,3.4,2023.0,1.9,2023.0,8.0,2023.0,0.70604795217514,2020.0,10.9752321243286,2020.0,46159.7081733083,2023.0,1.2,2023.0,6.5,2023.0,1.0,2023.0,1.1,2021.0,0.19860821246844,2021.0,7.5,2005.0,8.13752488635474,2021.0,,,,,,,,Europe,EUR,Lithuania,Europe & Central Asia,High income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
BLR,2023,17.8,2019.0,23.9,2019.0,24.4,2023.0,1.2,2023.0,1.3,2023.0,19.0,2023.0,,,,,5.1,2020.0,7.33323,2020.0,99.9,2019.0,97.0,2023.0,95.0,2023.0,98.0,2023.0,0.0,2023.0,0.0,2023.0,45.3,2012.0,193.0,2023.0,2.4,2023.0,0.8,2023.0,1.0,2023.0,0.700078189373016,2020.0,10.784273147583,2020.0,27782.4380139967,2023.0,0.0,2023.0,1.1,2023.0,1.2,2023.0,,,10.84075958725743,2021.0,9.0,2005.0,35.96647607453875,2021.0,,,,,,,,Europe,EUR,Belarus,Europe & Central Asia,Upper middle income,,,,,,,,,,IHME GBD 2021,IHME GBD 2021
